cve_estado,municipio
oax,"Santa María Quiegolani"
oax,"Santa Catarina Quioquitani"
oax,"Santa Catalina Quierí"
oax,"Salina Cruz"
oax,"Santiago Lachiguiri"
oax,"Santa María Jalapa del Marqués"
oax,"Santa María Totolapilla"
oax,"Santiago Laollaga"
oax,"Guevea de Humboldt"
oax,"Santo Domingo Chihuitán"
oax,"Santa María Guienagati"
oax,"Magdalena Tequisistlán"
oax,"Magdalena Tlacotepec"
oax,"San Pedro Comitancillo"
oax,"Santa María Mixtequilla"
oax,"Santo Domingo Tehuantepec"
oax,"San Pedro Huamelula"
oax,"San Pedro Huilotepec"
oax,"San Mateo del Mar"
oax,"Heroica Villa de San Blas Atempa"
oax,"Santiago Astata"
oax,"San Miguel Tenango"
oax,"Miahuatlán de Porfirio Díaz"
oax,"San Nicolás"
oax,"San Simón Almolongas"
oax,"San Luis Amatlán"
oax,"San José Lachiguiri"
oax,"Sitio de Xitlapehua"
oax,"San Francisco Logueche"
oax,"Santa Ana"
oax,"Santa Cruz Xitla"
oax,Monjas
oax,"San Ildefonso Amatlán"
oax,"Santa Catarina Cuixtla"
oax,"San José del Peñasco"
oax,"San Cristóbal Amatlán"
oax,"San Juan Mixtepec -Dto. 26 -"
oax,"San Pedro Mixtepec -Dto. 26 -"
oax,"Santa Lucía Miahuatlán"
oax,"San Jerónimo Coatlán"
oax,"San Sebastián Coatlán"
oax,"San Pablo Coatlán"
oax,"San Mateo Río Hondo"
oax,"Santo Tomás Tamazulapan"
oax,"San Andrés Paxtlán"
oax,"Santa María Ozolotepec"
oax,"San Miguel Coatlán"
oax,"San Sebastián Río Hondo"
oax,"San Miguel Suchixtepec"
oax,"Santo Domingo Ozolotepec"
oax,"San Francisco Ozolotepec"
oax,"Santiago Xanica"
oax,"San Marcial Ozolotepec"
oax,"San Juan Ozolotepec"
oax,"San Pedro Pochutla"
oax,"Santo Domingo de Morelos"
oax,"Santa Catarina Loxicha"
oax,"San Agustín Loxicha"
oax,"San Baltazar Loxicha"
oax,"Santa María Colotepec"
oax,"San Bartolomé Loxicha"
oax,"Santa María Tonameca"
oax,"Candelaria Loxicha"
oax,"Pluma Hidalgo"
oax,"San Pedro el Alto"
oax,"San Mateo Piñas"
oax,"Santa María Huatulco"
oax,"San Miguel del Puerto"
oax,"Putla Villa de Guerrero"
oax,"Constancia del Rosario"
oax,"Mesones Hidalgo"
oax,"Santa María Zacatepec"
oax,"San Pedro Amuzgos"
oax,"La Reforma"
oax,"Santa María Ipalapa"
oax,"Chalcatongo de Hidalgo"
oax,"Santa María Yucuhiti"
oax,"San Esteban Atatlahuca"
oax,"Santa Catarina Ticuá"
oax,"Santiago Nuyoó"
oax,"Santa Catarina Yosonotú"
oax,"San Miguel el Grande"
oax,"Santo Domingo Ixcatlán"
oax,"San Pablo Tijaltepec"
oax,"Santa Cruz Tacahua"
oax,"Santa Lucía Monteverde"
oax,"San Andrés Cabecera Nueva"
oax,"Santa María Yolotepec"
oax,"Santiago Yosondúa"
oax,"Santa Cruz Itundujia"
oax,"Zimatlán de Álvarez"
oax,"San Bernardo Mixtepec"
oax,"Santa Cruz Mixtepec"
oax,"San Miguel Mixtepec"
oax,"Santa María Atzompa"
oax,"San Andrés Ixtlahuaca"
oax,"Santa Cruz Amilpas"
oax,"Santa Cruz Xoxocotlán"
oax,"Santa Lucía del Camino"
